Ort,Lat,Lon,GeoNames
Aachen,50.77664,6.08342,http://sws.geonames.org/3247449
Aarau,47.39254,8.04422,http://sws.geonames.org/2661881
Altdorf,49.3856,11.3573,http://sws.geonames.org/2958024
Altdorf b. Nürnberg,49.3875,11.3572,http://sws.geonames.org/6558981
Altenburg,50.9872,12.4373,http://sws.geonames.org/2957773
Altona,53.55,9.93333,http://sws.geonames.org/2911296
Amsterdam,52.37403,4.88969,http://sws.geonames.org/2759794
Antwerpen,51.22047,4.40026,http://sws.geonames.org/2803138
Arnheim,51.98,5.91111,http://sws.geonames.org/2759661
Augsburg,48.37154,10.89851,http://sws.geonames.org/2954172
Bamberg,49.89873,10.90067,http://sws.geonames.org/2952984
Basel,47.55839,7.57327,http://sws.geonames.org/2661604
Bayreuth,49.94782,11.57893,http://sws.geonames.org/2951825
Berlin,52.52437,13.41053,http://sws.geonames.org/2950159
Bern,46.94809,7.44744,http://sws.geonames.org/2661552
Bonn,50.73438,7.09549,http://sws.geonames.org/2946447
Braunschweig,52.26594,10.52673,http://sws.geonames.org/2945024
Bremen
Breslau,51.1,17.03333,http://sws.geonames.org/3081368
Brixen,46.71503,11.65598,http://sws.geonames.org/3181550
Brünn,49.19522,16.60796,http://sws.geonames.org/3078610
Budapest,47.49835,19.04045,http://sws.geonames.org/3054643
Bunzlau
Chemnitz,50.8357,12.92922,http://sws.geonames.org/2940132
Danzig
Darmstadt
Dessau
Dillingen a.d. Donau,48.58153,10.49527,http://sws.geonames.org/2936974
Dorpat
Dresden,51.05089,13.73832,http://sws.geonames.org/2935022
Duisburg
Düsseldorf
Eisenach,50.9807,10.31522,http://sws.geonames.org/2931574
Eisenberg,50.9686,11.90207,http://sws.geonames.org/2931521
Elberfeld
Elbing
Erlangen,49.59099,11.00783,http://sws.geonames.org/2929567
Essen
Frankfurt (Oder)
Frankfurt am Main,50.11552,8.68417,http://sws.geonames.org/2925533
Freiberg
Freiburg im Üechtland,46.80237,7.15128,http://sws.geonames.org/2660718
Fürth
Genf,46.20222,6.14569,http://sws.geonames.org/2660646
Gera,50.88029,12.08187,http://sws.geonames.org/2921232
Gießen
Gotha,50.94823,10.70193,http://sws.geonames.org/2918752
Graz,47.06667,15.45,http://sws.geonames.org/2778067
Grimma
Görlitz,51.15518,14.98853,http://sws.geonames.org/2918987
Göttingen,51.53443,9.93228,http://sws.geonames.org/2918632
Güstrow,53.7972,12.17337,http://sws.geonames.org/2913433
Hagenau,48.81557,7.79051,http://sws.geonames.org/3014078
Halberstadt
Halle (Saale),51.48158,11.97947,http://sws.geonames.org/2911522
Hamburg,53.55073,9.99302,http://sws.geonames.org/2911298
Hanau,50.13423,8.91418,http://sws.geonames.org/2911007
Hannover
Heidelberg,49.40768,8.69079,http://sws.geonames.org/2907911
Helmstedt,52.2279,11.00985,http://sws.geonames.org/2906676
Herzberg am Harz
Hildburghausen
Idstein,50.21773,8.26679,http://sws.geonames.org/2896736
Ingolstadt,48.76508,11.42372,http://sws.geonames.org/2895992
Innsbruck
Jelenia Góra
Jelgava
Jena,50.92878,11.5899,http://sws.geonames.org/2895044
Kahla (Thür)
Karlsruhe,49.00937,8.40444,http://sws.geonames.org/2892794
Kempten (Allgäu)
Kiel
Klagenfurt,46.62472,14.30528,http://sws.geonames.org/2774326
Koblenz
Konstanz,47.66033,9.17582,http://sws.geonames.org/2885679
Kopenhagen,55.67594,12.56553,http://sws.geonames.org/2618425
Kronštadt
Köln,50.93333,6.95,http://sws.geonames.org/2886242
Königsberg,54.70649,20.51095,http://sws.geonames.org/554234
Köthen (Anhalt)
Laibach
Landshut,48.52961,12.16179,http://sws.geonames.org/2881485
Lauingen (Donau),48.56775,10.42706,http://sws.geonames.org/2880099
Leipzig,51.33962,12.37129,http://sws.geonames.org/2879139
Lemgo
Liegnitz,51.21006,16.1619,http://sws.geonames.org/3093692
Linz,48.30639,14.28611,http://sws.geonames.org/2772400
Lübeck,53.86893,10.68729,http://sws.geonames.org/2875601
Magdeburg,52.12773,11.62916,http://sws.geonames.org/2874545
Mailand
Mainz,49.98419,8.2791,http://sws.geonames.org/2874225
Mannheim
Marburg,50.80904,8.77069,http://sws.geonames.org/2873759
Meiningen
Merseburg
München,48.13743,11.57549,http://sws.geonames.org/2867714
Naumburg (Saale)
Neisse
Nordhausen
Numburg
Nördlingen
Nürnberg,49.45421,11.07752,http://sws.geonames.org/2861650
Offenbach
Offenbach am Main
Oldenburg (Oldenburg),53.14118,8.21467,http://sws.geonames.org/2857458
Oppenheim,49.8547,8.35974,http://sws.geonames.org/2857167
Ottobeuren
Paris,48.85341,2.3488,http://sws.geonames.org/2988507
Passau,48.5665,13.43122,http://sws.geonames.org/2855328
Penig,50.93336,12.70422,http://sws.geonames.org/2854967
Pest
Pforzheim
Posen
Potsdam
Prag,50.08804,14.42076,http://sws.geonames.org/3067696
Preßburg
Regensburg,49.01513,12.10161,http://sws.geonames.org/2849483
Reutlingen,48.49144,9.20427,http://sws.geonames.org/2847736
Riga,56.946,24.10589,http://sws.geonames.org/456172
Ronneburg,50.8634,12.18666,http://sws.geonames.org/2845229
Rorschach
Rostock,54.0887,12.14049,http://sws.geonames.org/2844588
Rothenburg ob der Tauber,49.37885,10.18711,http://sws.geonames.org/2844056
Rudolstadt
Ruhstorf-Sulzbach
Salzburg,47.79941,13.04399,http://sws.geonames.org/2766824
Sankt Gallen,47.42391,9.37477,http://sws.geonames.org/2658822
Sankt Petersburg,59.93863,30.31413,http://sws.geonames.org/498817
Sankt Pölten,48.2,15.63333,http://sws.geonames.org/2766429
Schaffhausen,47.69732,8.63493,http://sws.geonames.org/2658761
Schleswig,54.52156,9.5586,http://sws.geonames.org/2838634
Schloss Bevern,51.8572,9.4961,http://sws.geonames.org/2949489
Schneeberg
Schwabach
Sondershausen
Sorau
Stendal
Stettin
Straßburg,48.58392,7.74553,http://sws.geonames.org/2973783
Stuttgart,48.78232,9.17702,http://sws.geonames.org/2825297
Sulzbach-Rosenberg,49.50126,11.74598,http://sws.geonames.org/2824801
Triest,45.64953,13.77678,http://sws.geonames.org/3165185
Trogen
Troppau,49.93866,17.90257,http://sws.geonames.org/3068927
Tübingen,48.52266,9.05222,http://sws.geonames.org/2820860
Ulm,48.39841,9.99155,http://sws.geonames.org/2820256
Uppsala,59.85882,17.63889,http://sws.geonames.org/2666199
Wandsbek
Weimar,50.9803,11.32903,http://sws.geonames.org/2812482
Wernigerode
Wesel
Wien,48.20849,16.37208,http://sws.geonames.org/2761369
Wiesbaden,50.08258,8.24932,http://sws.geonames.org/2809346
Winterthur
Wittenberg
Worms
Würzburg,49.79391,9.95121,http://sws.geonames.org/2805615
Zerbst/Anhalt,51.9662,12.08517,http://sws.geonames.org/2804748
Zittau,50.89772,14.80764,http://sws.geonames.org/2804008
Zürich,47.36667,8.55,http://sws.geonames.org/2657896
